timestamp,sec,nanosec,pv_x,pv_y,pv_z,ov_x,ov_y,ov_z,ov_w,tcp_speedv_x,tcp_speedv_y,tcp_speedv_z,tcp_speedv,tcp_angularv_x,tcp_angularv_y,tcp_angularv_z,tcp_angularv,tcp_accelv__x,tcp_accelv__y,tcp_accelv__z,tcp_accelv,tcp_accelv_angular_x,tcp_accelv_angular_y,tcp_accelv_angular_z,tcp_accelv_angular,ps_x,ps_y,ps_z,os_x,os_y,os_z,os_w,tcp_speeds,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1719568252488128097,1719568252.0,488033641.0,,,,,,,,,,,,,,,,0.0319341273466777,-0.1035071901629436,0.0591830310934682,0.1234348333098564,0.0017175950083341,0.0013238640328655,-0.0002632046698064,0.0021844965755013,,,,,,,,,,,,,,
1719568252490045828,,,,,,,,,,,,,,,,,,,,,,,,,,371.951,-506.5,1729.24,,,,,,,,,,,
1719568252490123131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642147,0.607571,0.386592,0.690855,,,,,,,
1719568252490209759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252494257829,,,,,,,,,,,,,,,,,,,,,,,,,,371.95,-506.5,1729.24,,,,,,,,,,,
1719568252494339383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064215,0.607572,0.386589,0.690856,,,,,,,
1719568252494638041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5446,-28.7337,-8.20408,88.4146,93.9664,60.302
1719568252495759329,,,,,,,,,,,,,,,,,,,,,,,,,,371.951,-506.501,1729.24,,,,,,,,,,,
1719568252496579710,,,,,,,,,,,,,,,,,,,,,,,,,,371.951,-506.501,1729.24,,,,,,,,,,,
1719568252496636257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642162,0.60757,0.386589,0.690857,,,,,,,
1719568252498012514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252498074179,1719568252.0,498021751.0,,,,,,,,-0.0003527463150235,0.000286719343987,-0.0004656333631736,0.0006507321829135,0.000834014171049,-0.0007459990414472,0.0012933616618983,0.0017102276444436,,,,,,,,,,,,,,,,,,,,,,
1719568252498080233,1719568252.0,497999666.0,-0.0450301328261318,-0.6356071760811179,1.7787003153142558,9.3510470702642e-05,0.0002053165840486,-2.3723800775666215e-05,0.9999999742690364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719568252498085476,1719568252.0,498028548.0,,,,,,,,,,,,,,,,0.0057973080487161,0.2194263110331107,-0.0489478739876148,0.2248942176271292,0.0006902227813378,-0.001150049357787,0.0007759577880668,0.0015495584861778,,,,,,,,,,,,,,
1719568252498305494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5446,-28.7337,-8.20395,88.4149,93.9665,60.3016
1719568252500720677,,,,,,,,,,,,,,,,,,,,,,,,,,371.95,-506.498,1729.24,,,,,,,,,,,
1719568252502064053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642161,0.607567,0.38659,0.690859,,,,,,,
1719568252502106115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252502296564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5445,-28.7339,-8.20387,88.4151,93.9665,60.3015
1719568252506046939,,,,,,,,,,,,,,,,,,,,,,,,,,371.951,-506.501,1729.24,,,,,,,,,,,
1719568252506065623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642124,0.607569,0.386588,0.690859,,,,,,,
1719568252506116572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252506312121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5446,-28.7337,-8.20387,88.4151,93.9667,60.3019
1719568252507319881,,,,,,,,,,,,,,,,,,,,,,,,,,371.949,-506.497,1729.24,,,,,,,,,,,
1719568252507350906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642126,0.60757,0.386588,0.690858,,,,,,,
1719568252507404647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1719568252507608222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5446,-28.734,-8.20387,88.4149,93.9667,60.3019
