timestamp,sec,nanosec,pv_x,pv_y,pv_z,ov_x,ov_y,ov_z,ov_w,tcp_speedv_x,tcp_speedv_y,tcp_speedv_z,tcp_speedv,tcp_angularv_x,tcp_angularv_y,tcp_angularv_z,tcp_angularv,tcp_accelv__x,tcp_accelv__y,tcp_accelv__z,tcp_accelv,tcp_accelv_angular_x,tcp_accelv_angular_y,tcp_accelv_angular_z,tcp_accelv_angular,ps_x,ps_y,ps_z,os_x,os_y,os_z,os_w,tcp_speeds,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,ap_x,ap_y,ap_z,aq_x,aq_y,aq_z,aq_w
1720702092058008770,1720702092.0,57819019.0,,,,,,,,-0.9430939282017992,1.6244518504987535,2.6564201454082337,3.253434794325933,0.0003471815904509,-0.0001687542111108,0.0022989595484884,0.0023311430771409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720702092058020455,1720702092.0,57798667.0,229.0725806165522,119.605943985566,1906.38058747644,0.0013422553368989,0.0027311611240146,0.0210788015968077,0.9997731858940644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720702092058027886,1720702092.0,57826312.0,,,,,,,,,,,,,,,,-0.0688955320848894,0.0769669481776036,0.1401545345380839,0.1741085839486982,0.0028407272844855,0.0004469675296167,0.002373360952415,0.0037285860172189,,,,,,,,,,,,,,,,,,,,,
1720702092058451317,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.0,1850.0,,,,,,,,,,,,,,,,,,
1720702092058466139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60757,0.386591,0.690857,0.0642164,,,,,,,,,,,,,,
1720702092060875244,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-300.0,1850.0,,,,,,,,,,,,,,,,,,
1720702092060889186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60757,0.386591,0.690857,0.0642164,,,,,,,,,,,,,,
1720702092062481995,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,-299.999,1850.0,,,,,,,,,,,,,,,,,,
1720702092062495074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60757,0.386587,0.690859,0.0642124,,,,,,,,,,,,,,
1720702092062526953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
